Payer,Category,Phone,Notes
"BCBS of NC (YPJ, BZZ)",Insurance,1-800-446-8053,
BCBS of NC (SFV),Insurance,1-800-518-1638,
BCBS of NC (YPY),Insurance,1-888-234-2416,
BCBS of Highmark,Insurance,1-800-241-5704,
BCBS of Highmark (HRF),Insurance,1-800-550-8722,
BCBS of Louisiana,Insurance,1-800-392-4089,
BCBS (Arizona),Insurance,1-800-650-5656,
BCBS of Alabama,Insurance,1-877-231-7239,
BCBS (Alabama) Out of State,Insurance,1-800-517-6425,
BCBS of Alabama (PEX),Insurance,1-800-321-4392,
BCBS (GA),Insurance,1-855-641-4862,
BCBS (GA)Swith board number,Insurance,1-800-331-1476,
BCBS (LA),Insurance,1-800-922-8866,
BCBS (CA)(XED)(EMF),Insurance,1-800-541-6652,
BCBS of CA (XEL),Insurance,1-800-955-7376,
 BCBS CA - United AG Benefit Trust,Insurance,1-800-223-4590,
Empire BCBS (YLV) Medi-Blue PPO,Insurance,1-800-499-9554,
Empire BCBS,Insurance,1-800-992-2583,
Empire BCBS (SFW),Insurance,1-800-553-9603,
Highmark BCBS medicare advantage plan,Insurance,1-866-588-6967,
BCBS of IL,Insurance,1-800-972-8088,
BCBS of IL (XOD),Insurance,1-877-774-8592,
BCBS of IL (LLG),Insurance,1-877-311-2150,
BCBS of IL (PPK),Insurance,1-888-619-5364,
BCBS of IL (WFP),Insurance,1-888-393-9499,
BCBS of IL (FUN),Insurance,1-312-243-1265,
BCBS of IL (AIW),Insurance,1-866-375-4766,
BCBS of IL (PPP),Insurance,1-312-633-0597,
BCBS of IL (UOE),Insurance,1-312-243-1265,
BCBS of IL (MOE),Insurance,1-708-482-7300,
BCBS of IL (GLW),Insurance,1-630-887-4150,
BCBS of IL (IEW),Insurance,1-877-364-4239,
BCBS of IL (IBW),Insurance,1-630-393-1701,
BCBS of IL (AJk ),Insurance,1-888-614-1011,
BCBS of IL (PLU),Insurance,1-312-226-4200,
BCBS of IL (TEA),Insurance,1-800-323-2190,
BCBS of IL (NEA),Insurance,1-800-527-0320,
BCBS of IL (LCB),Insurance,1-800-323-7268,
BCBS of IL (UFC),Insurance,1-800-621-5133,
BCBS of IL (XOG),Insurance,1-877-723-7702,
BCBS of IL (CGO-Prefix),Insurance,1-312-787-9455,
"BCBS of IL (EGA, TLO)",Insurance,1-630-887-4150,
BCBS of IL (IPT),Insurance,1-800-950-6789,
BCBS of IL (NEI),Insurance,1-800-523-4702,
BCBS Anthem CA,Insurance,1-800-677-6669,
Anthem BCBS CA (WUW),Insurance,1-800-872-5439,
Anthem BCBS CA (AAT),Insurance,1-877-526-3481,
Anthem BCBS CA (DGA),Insurance,1-323-866-2200,
Anthem BCBS CA (EUA),Insurance,1-800-249-8440,
Anthem BCBS CA (HRH),Insurance,1-844-594-6178,
Anthem BCBS CA (NGO),Insurance,1-800-894-1374,
Anthem BCBS CA (TMN),Insurance,1-877-214-8928,
Anthem BCBS CA (INC),Insurance,1-866-820-0765,
Anthem BCBS CA (SRQ),Insurance,1-530-378-8200,
Anthem BCBS CA (DYS),Insurance,1-800-922-9902,
Anthem BCBS CA (PHR),Insurance,1-800-345-4344,
Anthem BCBS CA (DLU),Insurance,1-888-212-1231,
Anthem BCBS CA (KZU),Insurance,1-866-280-4120,
Anthem BCBS CA (NDU),Insurance,1-877-442-4690,
Anthem BCBS CA (BAY),Insurance,1-619-849-1060,
Anthem BCBS CA (SIF),Insurance,1-831-754-3800,
Anthem BCBS CA (LLT),Insurance,1-800-660-1014,
Anthem BCBS CA (HTW),Insurance,1-888-547-2054,
Anthem BCBS CA (RNW),Insurance,1-888-887-9154,
Anthem BCBS CA (ILM),Insurance,1-888-212-0276,
Anthem BCBS CA (MTY),Insurance,1-800-287-1442,
"AnthemBCBS of CA (JQH, JQM, JQU, VXB,JQP)",Insurance,1-855-854-1438,
"AnthemBCBS of CA (JQE, XDO)",Insurance,1-800-333-3883,
Anthem BCBS CA (JQI),Insurance,1-877-811-3107,
Anthem BCBS of CA (RDX),Insurance,1-877-823-6044,
Anthem BCBS CA (XDJ),Insurance,1-800-407-4627,
Anthem BCBS CA (XDL),Insurance,1-800-388-0508,
AnthemBCBS of CA (JQF),Insurance,1-877-411-1640,
AnthemBCBS of CA (TWR),Insurance,1-800-222-2619,
AnthemBCBS of CA (NGM),Insurance,1-855-804-2074,
AnthemBCBS of CA (LLT),Insurance,1-800-660-1014,
Anthem BCBS of CA (CPR)PWF,Insurance,1-877-737-7776,
Anthem BCBS of CA  (IWA),Insurance,1-800-759-3030,
Anthem BCBS of CA (CPT),Insurance,1-888-231-5031,
Anthem BCBS of CA (MPI),Insurance,1-818-769-0007,
AnthemBCBS of CA (UAS),Insurance,1-408-288-4400,
AnthemBCBS of CA (TBT),Insurance,1-800-533-0119,
Anthem BCBS of CA (TRJ),Insurance,1-855-727-5267,
Anthem (EMT),Insurance,1-855-817-5785,
AnthemBCBS of CA (KEK),Insurance,1-855-537-6767,
AnthemBCBS of CA (KNQ),Insurance,1-800-653-3626,
AnthemBCBS of CA (VXD),Insurance,1-855-854-1438,
AnthemBCBS of CA (SAG),Insurance,1-800-442-7247,
AnthemBCBS of CA (SGE),Insurance,1-714-220-2297,
Anthem (IUU),Insurance,1-855-804-2073,
Anthem - Kentucky,Insurance,1-855-558-1439,
BCBS (Independence Administrator),Insurance,1-800-275-2583,
BCBS (AFK) - Emblem Health,Insurance,1-877-842-3625,
Regence BCBS of Utah (ZHL),Insurance,1-800-253-0838,
Carefirst BCBS,Insurance,1-877-228-7268,
"Carefirst BCBS (CIZ, CLZ)",Insurance,1-844-466-3515,
BCBS of AR (XCX),Insurance,1-800-287-4188,
BCBS of Kansas,Insurance,1-816-395-2700,
BCBS of Kansas (YBW),Insurance,1-816-395-3193,
BCBS of Kansas (IFS ),Insurance, 1-800-340-0117,
BCBS of Kansas (YBC ),Insurance,1-800-456-3751,
BCBS of Kansas (GPS),Insurance,1-816-395-3929,
AETNA ,Insurance,1-888-632-3862,
AETNA (MEB Plans),Insurance,1-800-624-0756,
AETNA (CLI),Insurance,1-800-264-4000,
Aetna Better Health of OH,Insurance,1-855-364-0974,
Assurant Health,Insurance,1-800-553-7654,
ANTHEM of  (rcd),Insurance,1-855-215-6078,
CIGNA ,Insurance,1-800-244-6224,
GREATWEST ,Insurance,1-866-494-2111,
CIGNA (APWU),Insurance,1-800-222-2798,
CIGNA (NALC),Insurance,1-888-636-6252,
CIGNA (Health Springs),Insurance,1-800-668-3813,
CIGNA (Health Springs GA) Innetwork,Insurance,1-866-957-8925,
UHC,Insurance,1-877-842-3210,
UHC - New York,Insurance,1-800-689-7640,
UHC Community Plan - NJ Medicaid,Insurance,1-888-336-4845,
UMR,Insurance,1-800-826-9781,
All Savers,Insurance,1-800-291-2634,
HUMANA,Insurance,1-800-291-2634,
"Humana (Group Number Starts with ""P"")",Insurance,1-800-448-6262,
"Humana (Group Number Starts with ""Q"")",Insurance,1-800-733-9064,
"Humana (Group Number Starts with ""R"")",Insurance,1-866-396-8810,
"Humana (Group Number Starts with ""R"") with Group Name ERS of Texas",Insurance,1-855-377-0001,
Care Improvement Plus,Insurance,1-866-679-3119,
AARP,Insurance,1-800-227-7789,
Coventry National,Insurance,1-866-731-9570,
Coventry National (Medicare Plan),Insurance,1-800-755-5242,
Coventry National (Advantra Plan),Insurance,1-855-223-4807,
Coventry National (Advantra Plan) - IOWA,Insurance,1-866-901-4692,
Coventry National of Illinois,Insurance,1-800-562-5792,
Coventry Health Care of Kansas,Insurance,1-800-969-3343,
Coventry National of Kansas (Medicare & Advantra Plan),Insurance,1-800-727-9712,
Coventry National of IL (Medicare Plan),Insurance,1-855-223-4807,
Health America,Insurance,1-800-290-0190,
Health America (Commercial),Insurance,1-800-735-4404,
AmeriHealth,Insurance,1-800-841-5328,
AmeriHealth Administrators ,Insurance,1-888-968-7241,
AmeriHealth New Jersy,Insurance,1-888-968-7241,
Amerigroup Real Solutions,Insurance,1-866-805-4589,
Amerigroup Real Solutions (Amerigroup of GA),Insurance,1-800-454-3730,
Amerigroup Real Solutions (Texas MMP),Insurance,1-855-878-1784,
UFCW/Tristate Health and Welfare Fund,Insurance,1-800-228-7484,
UFCW,Insurance,1-800-794-5678,
Meridian Health,Insurance,1-888-773-2647,
Meridian Health Plan of IL - Medicaid,Insurance,1-312-705-2900,
Windsor,Insurance,1-800-811-8482,
Windsor (WINDSOR MEDICARE EXTRA),Insurance,1-800-793-3684,
Windsor,Insurance,1-855-538-0454,
Star Mark,Insurance,1-800-522-1246,
Priority Health,Insurance,1-800-942-4765,
Healthnet of California - Medical/Medicaid,Insurance,1-800-675-6110,
Healthnet of California - Medicare,Insurance,1-800-638-3889,
Healthnet of California - Aspire - California,Insurance,1-831-754-3800,
Healthnet of California - Covered California,Insurance,1-888-926-4988,
Healthnet - Commercial (MediCal - R Prefix),Insurance,1-800-641-7761,
1199 SEIU National Benefit Fund,Insurance,1-888-819-1199 ,
PHCS,Insurance,1-800-292-9902,
PHCS Thomas Cooper Benefits Administrator,Insurance,1-843-722-2115,
PHCS Land of Lincoln Health,Insurance,1-844-674-3838,
MultiPlan,Insurance,1-855-224-5173,
Multiplan (Group and Pension (GPA)),Insurance,1-800-827-7223,
Philadelphia American,Insurance,1-281-368-7200,
Central California Alliance for Health,Insurance,1-800-700-3874,
Community Care Alliance of Illinois,Insurance,1-866-871-2305,
Fidelis Care NY,Insurance,1-888-343-3547,
Superior Health Plan,Insurance,1-877-391-5921,
Care Point Advantage (Clover Health),Insurance,1-877-853-8019,
Bluegrass Family Health (Baptist Health Plan),Insurance,1-800-787-2680,
Bluegrass Family Health (Baptist Health Plan),Insurance,1-877-467-6004,
Teamsters Benefit Trust (CA),Insurance,1-888-887-3725,
Health Plan of San Mateo,Insurance,1-650-616-2106,
Meritain Health,Insurance,1-800-828-6922,
Qualcare,Insurance,1-800-992-6613,
Qualcare (Health Republic of NJ),Insurance,1-888-990-5706,
Buckeye Community Health Plan (Medicare Advantage),Insurance,1-866-296-8731,
New York State Insurance Fund,Insurance,1-518-437-6400,
INSURANCE DESIGN ADMINIST,Insurance,1-800-225-1345,
Santa Clara Family Health Plan,Insurance,1-408-874-1788,
MSI -ADVANCED MEDICAL MGMT,Insurance,1-800-206-6591,
Health Alliance,Insurance,1-800-801-1766,
Magnacare,Insurance,1-866-663-2363,
ILWU,Insurance,1-800-955-7376,
John Hopkins Healthcare,Insurance,1-866-276-7889,
Healthfirst New York,Insurance,1-888-801-1660,
Health First,Insurance,1-888-260-1010,
Medicaid - Nevada,Insurance,1-800-942-6511,
Medicaid - Georgia,Insurance,1-800-766-4456,
Medicaid - Texas,Insurance,1-800-925-9126,
Medicaid - Arkansas,Insurance,1-800-457-4454,
Medicaid - SC,Insurance,1-888-289-0709,
Medicaid - VA,Insurance,1-800-552-8627,
Medicaid - NY,Insurance,1-800-343-9000,
Medicaid - WA,Insurance,1-800-562-3022,
SCAN Health Plan,Insurance,1-800-307-8003,
"Planned Administrators, Inc.",Insurance,1-800-768-4375,
Freedom Health,Insurance,1-800-401-2740,
Integra Wellcare of Georgia - Medicare,Insurance,1-855-538-0454,
Integra Wellcare of Texas - Medicare,Insurance,1-855-538-0454,
Integra Wellcare of Illinois - Medicaid,Insurance,1-855-642-6188,
Integra Wellcare of Kentucky - Medicare,Insurance,1-855-538-0454,
Integra Wellcare of Tennessee - Medicare,Insurance,1-866-270-5223,
St Joseph Heritage Healthcare,Insurance,1-714-937-6143,
Bankers Life and Casualty,Insurance,1-800-773-4760,
Care1st Health Plan,Insurance,1-800-605-2556,
Scott and White Health Plan,Insurance,1-800-321-7947,
Alameda Alliance for Health,Insurance,1-510-747-4530,
Molina Healthcare of Ohio,Insurance,1-800-642-4168,
Molina Healthcare of Texas,Insurance,1-800-665-0898,
Molina Duals Cal Mediconnect Health Plan,Insurance,1-855-665-4627,
Molina Dual Options (Member ID starts with 5000000),Insurance,1-866-856-8699,
Tricare Life,Insurance,1-800-667-0404,
Colonial Penn (Mem ID starts with 21),Insurance,1-800-800-2254,
Colonial Penn,Insurance,1-800-523-4000,
Fallon Community Health Plan,Insurance,1-866-275-3247,
Dimension Benefit Management,Insurance,1-888-828-7858 ,
Western Growers,Insurance,1-800-777-7898,
MOAA Insurance Plans,Insurance,1-800-247-2192,
Medica Health Plans - MN,Insurance,1-800-458-5512,
Medica Health Plans - FL,Insurance,1-866-273-9444,
York Risk Services Group,Insurance,1-626-463-6116,
First Choice Health Network (EBMS),Insurance,1-406-869-5555,
Gold Coast Health Plan,Insurance,1-888-301-1228,
GEHA,Insurance,1-800-821-6136,
HomeLink,Insurance,1-800-482-1993,
Commonwealth Care Alliance,Insurance,1-617-426-0600,
Medical Mutual,Insurance,1-800-362-1279,
Health Scope Benefits,Insurance,1-877-385-8816,
Health Scope Benefits (Whirlpool Employee),Insurance,1-800-660-6212,
Health Choice of OK,Insurance,1-800-782-5218,
Geisinger,Insurance,1-800-498-9731,
Tricare - Secondary,Insurance,1-866-773-0404,
Operating Engineers Health and Welfare - Local 99 ,Insurance,1-626-356-1000,
Sierra Health and Life Insurance Company,Insurance,1-877-221-9430,
ASI Corp - Selman and Co,Insurance,1-800-638-2610 ,
UPMC Health Plan,Insurance,1-888-876-2756,
Sheet Metal Workers Union - Local 104,Insurance,1-925-208-9994,
Today's Options - PPO,Insurance,1-866-422-5009,
Screen Actors Guild,Insurance,1-800-777-4013,
CHAMPVA,Insurance,1-800-733-8387,
Martin's Point Healthcare - Generations,Insurance,1-888-732-7364,
Mohegan Tribe of Indian of CT,Insurance,1-860-862-6103,
Virginia Premier Complete Plan - Medicare,Insurance,1-800-727-7536,
Senior Whole Health of MA,Insurance,1-617-494-5353,
Passport,Insurance,1-800-578-0775,
Independence Care System Community Care,Insurance,1-844-225-3657,
WellCare ,Insurance,1-855-538-0454,
UAT,Insurance,408 588 3751,
SRQ,Insurance,530 378 8200,
XBS,Insurance,602 864 4320,
YLA,Insurance,800 222 5028,
AON,Insurance,800 232 6179,
XDB,Insurance,800 234 4333,
XCM,Insurance,800 238 8379,
KLN,Insurance,800 241 4896,
WCP,Insurance,800 245 9272,
DXP,Insurance,800 249 5103,
GMH,Insurance,800 262 0820,
GML,Insurance,,
XZM,Insurance,800 262 0820,
XZP,Insurance,,
YEP,Insurance,800 284 4640,
YET,Insurance,,
WDM,Insurance,800 285 6659,
YTM,Insurance,800 321 8318,
FMC,Insurance,800 327 6719,
LOUJ,Insurance,800 331 2001,
XDO,Insurance,800 333 3883,
ISU,Insurance,800 334 2583,
PER,Insurance,800 334 5847,
XEH,Insurance,,
XEP,Insurance,,
XEA,Insurance,800 334 9849,
XEA,Insurance,,
YFW,Insurance,800 336 7767,
GMU,Insurance,800 344 8525,
NGM,Insurance,,
YRP,Insurance,800 345 4344,
EAR,Insurance,800 358 2227,
XQM,Insurance,800 362 2218,
XEM,Insurance,800 372 5720,
YET,Insurance,800 424 7105,
XSM,Insurance,800 432 0272,
XSM,Insurance,800 432 3990,
ADM,Insurance,800 433 7916,
NYC,Insurance,800 433 9592,
XLA,Insurance,,
EVE,Insurance,800 441 9188,
HBT,Insurance,,
XDX,Insurance,800 442 7247,
ZCS,Insurance,800 444 4311,
SWP,Insurance,800 445 7490,
YDA,Insurance,800 447 7828,
YVB,Insurance,800 448 0525,
DPW,Insurance,800 451 0287,
ISD,Insurance,,
UPX,Insurance,,
ZGB,Insurance,,
YTP,Insurance,800 451 1527,
YTX,Insurance,,
NGC,Insurance,800 516 1269,
NGT,Insurance,,
LPC,Insurance,800 517 6425,
PPA,Insurance,,
XAA,Insurance,,
NYC,Insurance,800 521 9574,
XZN,Insurance,800 528 0934,
UAL,Insurance,800 535 9825,
XON,Insurance,,
FJA,Insurance,800 537 8715,
NCF,Insurance,800 564 7475,
Z,Insurance,,
INZ,Insurance,800 621 3330,
ZHB,Insurance,800 624 6519,
XNA,Insurance,800 632 2022,
LMF,Insurance,800 642 8980,
CMS,Insurance,800 670 6133,
AET,Insurance,800 677 6669,
CYE,Insurance,,
CZU,Insurance,,
DSS,Insurance,,
LDS,Insurance,,
PZG,Insurance,,
SAC,Insurance,,
TUN,Insurance,,
WEP,Insurance,,
WPK,Insurance,,
XDB,Insurance,,
XDL,Insurance,,
XDM,Insurance,,
XDP,Insurance,,
XDS,Insurance,,
XDX,Insurance,,
XDX,Insurance,800 688 3828,
NQN,Insurance,800 722 1471,
NTT,Insurance,,
PAZ,Insurance,,
ZEB,Insurance,,
ZKR,Insurance,,
YVB,Insurance,800 722 5082,
XJB,Insurance,800 727 2227,
XJJ,Insurance,,
IDP,Insurance,800 743 1871,
XMP,Insurance,,
BQL,Insurance,800 749 5386,
SJZ,Insurance,800 749 5473,
XDP,Insurance,800 759 3030,
XLP,Insurance,800 790 4672 opt 2,
XDD,Insurance,800 825 5541,
YMM,Insurance,800 847 1200,
ARM,Insurance,800 852 7626,
XDP,Insurance,800 888 2108,
CDQ,Insurance,800 898 3556,
YNY,Insurance,800 920 8889,
XGM,Insurance,800 922 3242,
CTI,Insurance,800 924 7141,
DCL,Insurance,800 924 7141,
PZG,Insurance,800 964 0530,
ADM,Insurance,800 972 8088,
AON,Insurance,,
FWY,Insurance,,
MRT,Insurance,,
RVC,Insurance,,
SFZ,Insurance,,
UAL,Insurance,,
YLR,Insurance,800 992 2583,
YLS,Insurance,,
NSA,Insurance,818 954 9400,
LLR,Insurance,866 204 7133,
PQM,Insurance,866 219 8692,
CZC,Insurance,866 236 4368,
RCZ,Insurance,866 236 4368,
XDV,Insurance,866 364 2374,
XFU,Insurance,866 408 7086,
XFG,Insurance,866 438 9969,
SRF,Insurance,866 470 2963,
WRT,Insurance,866 482 2250,
RYL,Insurance,866 513 6934,
YUA,Insurance,866 520 2507,
ELS,Insurance,866 649 2038,
HKS,Insurance,866 675 8635,
WMW,Insurance,866 823 3790,
MXH,Insurance,877 228 7268,
JQQ,Insurance,877 326 2201,
XDP,Insurance,877 359 9644,
AAT,Insurance,877 526 3481,
MWK,Insurance,877 533 7258,
MWJ,Insurance,877 663 7258,
CPR,Insurance,877 737 7776,
XDD,Insurance,,
AKY,Insurance,877 762 9597,
XDG,Insurance,877 811 3107,
AXG,Insurance,877 833 5742,
FIV,Insurance,,
PQC,Insurance,,
PQQ,Insurance,,
UIT,Insurance,,
XFB,Insurance,,
XFC,Insurance,,
XFF,Insurance,,
XFJ,Insurance,,
XFK,Insurance,,
XFL,Insurance,,
XFN,Insurance,,
XFP,Insurance,,
XFT,Insurance,,
XFW,Insurance,,
XFY,Insurance,,
YFW,Insurance,,
CDX,Insurance,888 209 7974,
YIC,Insurance,888 349 3706,
XON,Insurance,888 652 4013,
WYE,Insurance,888 666 2535,
YHA,Insurance,888 666 2535,
MHY,Insurance,888 822 4360,
RYL,Insurance,888 823 8576,
XEC,Insurance,888 852 5345,
YEP,Insurance,888 930 2583,
TBA,Insurance,888 979 4516,
CBK,Insurance,855-603-7982,
WRX,Insurance,8188461015,
DRT,Insurance,877-442-4682,
LAV,Insurance,855-852-9995,
WKH,Insurance,800-574-3903,
WLU,Insurance,1-877-875-1223,
SLN,Insurance,1-877-800-7087,
KVY,Insurance,1-877-310-0488,
CLL,Insurance,800-677-6669,
HPU,Insurance,1-855-483-4373,
TBT,Insurance,1-800-533-0119,
SIF,Insurance,1-800-322-5709,
VXB,Insurance,1-855-854-1438,
DOM,Insurance,1-877-434-2734,
GBU,Insurance,1-855-866-0942,
HEA,Insurance,1-800-442-7247,
UTX,Insurance,1-866-251-1803,
SIS,Insurance,1-800-322-5709,
VOP,Insurance,1-855-558-1439,
1,Insurance,"1-888-632-3862, 8002644000",
2,Insurance,1-800-624-0756,
3,Insurance,1-888-632-3862,
4,Insurance,,
5,Insurance,1-800-227-7789,
6,Insurance,1-877-842-3210,
7,Insurance,1-800-899-6805,
8,Insurance,1-800-454-3730,
9,Insurance,1-866-219-7705,
10,Insurance,1-800-222-2798,
11,Insurance,1-800-553-7654,
12,Insurance,1-800-284-9093,
13,Insurance,1-800-727-2227,
14,Insurance,1-888-722-0322,
15,Insurance,1-800-676-2583,
16,Insurance,1-800-214-4844,
17,Insurance,1-800-676-2583,
18,Insurance,1-866-882-2034,
19,Insurance,1-800-936-9314,
20,Insurance,1-800-442-4607,
21,Insurance,1-888-290-9160,
22,Insurance,1-800-451-0287,
23,Insurance,1-800-773-4760,
24,Insurance,1-800-252-9653,
25,Insurance,1-877-725-6525,
26,Insurance,1-866-679-3119,
27,Insurance,1-800-244-6224,
28,Insurance,1-800-821-6136,
29,Insurance,1-866-494-2111,
30,Insurance,1-513-551-1400,
31,Insurance,1-800-482-1993,
32,Insurance,1-866-427-7478/1-800-523-0023,
33,Insurance,1-866-238-9650,
34,Insurance,1-866-270-4909……LIVE CSR,
35,Insurance,1-877-320-0390……IVR,
36,Insurance,1-877-299-7900……IVR,
37,Insurance,1-866-590-6727……LIVE CSR,
38,Insurance,1-877-567-9230……IVR,
39,Insurance,1-866-640-9202………LIVE CSR,
40,Insurance,1-877-288-7600………IVR,
41,Insurance,1-888-355-9165………LIVE CSR,
42,Insurance,1-800-925-9126,
43,Insurance,1-800-723-4337……..IVR,
44,Insurance,1-800-688-6696…….LIVE CSR,
45,Insurance,Verify online/ph#1-800-686-1516,
46,Insurance,1-800-541-5555…….LIVE CSR,
47,Insurance,Verify online,
48,Insurance,1-800-410-7778,
49,Insurance,1-800-362-1279,
50,Insurance,1-877-801-7260,
51,Insurance,1-800-686-8425,
52,Insurance,1-800-642-4168,
53,Insurance,1-866-449-6849,
54,Insurance,,
55,Insurance,1-877-847-2862/1-877-842-3210,
56,Insurance,1-800-247-4695,
57,Insurance,1-866-579-8811/1-877-842-3210,
58,Insurance,1-800-282-5385,
59,Insurance,1-877-874-2273/Verify online,
60,Insurance,1-800-444-5445/Verify online,
61,Insurance,,
62,Insurance,1-877-303-2414,
63,Insurance,1-877-842-3210,
64,Insurance,1-866-731-9570,
65,Insurance,1-800-624-7130,
66,Insurance,,
67,Insurance,1-888-636-6252,
68,Insurance,1-800-299-3539,
69,Insurance,1-800-827-7223,
70,Insurance,,
71,Insurance,1-800-546-5906,
72,Insurance,1-877-819-9199,
73,Insurance,1-800-288-2078,
74,Insurance,1-800-895-2017,
75,Insurance,1-866-494-2111,
76,Insurance,,
77,Insurance,1-866-868-9460,
78,Insurance,1-866-855-1212,
79,Insurance,1-866-773-0404,
80,Insurance,1-877-429-9571,
81,Insurance,1-800-368-3653,
82,Insurance,1-800-718-1293,
83,Insurance,1-215-698-5100,
84,Insurance,1-800-733-8387,
85,Insurance,1-800-807-0400,
86,Insurance,1-800-800-2254,
87,Insurance,1-800-444-8990,
88,Insurance,1-866-887-9323,
89,Insurance,1-800-877-1122,
90,Insurance,1-877-774-8592,
91,Insurance,1-800-747-1446,
92,Insurance,1-855-452-9998,
93,Insurance,1-800-445-7227,
94,Insurance,1-800-824-7406,
95,Insurance,1-800-843-4121,
96,Insurance,1-800-522-1246,
97,Insurance,1-866-593-1831,
98,Insurance,1-816-395-2393,
99,Insurance,1-516-282-8000,
100,Insurance,1-800-624-8605,
101,Insurance,,
102,Insurance,1-800-828-5822,
103,Insurance,"800-422-0699, 800-417-8923",
104,Insurance,800-624-1110,
BCBS (UTS),Insurance,1-866-882-2034,
"Anthem (DZV, EZV)",Insurance,1-800-875-6139,
Anthem (KRO),Insurance,1-800-258-0503,
Anthem (JWF),Insurance,1-855-690-7798,
"Anthem CT (XGC , XGP)",Insurance,1-800-922-3242,
BCBS Of TN (ZXD),Insurance,1-800-831-2583,
BCBS (CA),Insurance,1-800-541-6652,
BCBS of CA (XEB),Insurance,1-800-622-0632,
Highmark BCBS,Insurance,1-866-588-6967,
BCBS of IL (FOX),Insurance,1-888-770-9297,
BCBS of IL (LAR),Insurance,1-866-906-0200,
BCBS of IL (AND),Insurance,1-800-324-0995,
Anthem BCBS CA (HEA),Insurance,1-800-442-7247,
Anthem BCBS CA (FXZ),Insurance,1-866-940-6585,
Anthem BCBS CA (OPG),Insurance,1-800-251-5013,
Anthem BCBS CA (GDD),Insurance,1-866-694-0721,
Anthem BCBS CA (REU),Insurance,1-888-722-1077,
Anthem BCBS CA (WLU),Insurance,1-877-875-1223,
"Anthem BCBS CA (RNI, HEA)",Insurance,1-800-442-7247,
Anthem BCBS CA (NCF),Insurance,1-800-289-2250,
Anthem BCBS CA (XDM),Insurance,1-800-825-5541,
Anthem BCBS CA (LFY),Insurance,1-800-244-3439,
Anthem BCBS CA (XDD),Insurance,1-800-288-2539,
Anthem BCBS CA (WRX),Insurance,1-818-846-1015,
Anthem BCBS CA (DRT),Insurance,1-877-442-4682,
Anthem BCBS CA (LAV),Insurance,1-855-852-9995,
Anthem BCBS CA (WKH),Insurance,1-800-574-3903,
Anthem BCBS CA (POM),Insurance,1-855-651-2180,
Anthem BCBS CA (KNQ),Insurance,1-800-653-3626,
"Anthem BCBS of CA (JQH, JQM, JQU, VXB)",Insurance,1-855-854-1438,
"Anthem BCBS of CA (JQE, XDO)",Insurance,1-800-333-3883,
Anthem BCBS CA (XDP),Insurance,1-800-759-3030,
Anthem BCBS of CA (JQF),Insurance,1-877-411-1640,
